Time_Index,CT_NG,None
1,0.05306,0.0
2,5.45,0.0
3,5.45,0.0
4,5.45,0.0
5,5.45,0.0
6,5.45,0.0
7,5.45,0.0
8,5.45,0.0
9,5.45,0.0
10,5.45,0.0
11,5.45,0.0
12,5.45,0.0
13,5.45,0.0
14,5.45,0.0
15,5.45,0.0
16,5.45,0.0
17,5.45,0.0
18,5.45,0.0
19,5.45,0.0
20,5.45,0.0
21,5.45,0.0
22,5.45,0.0
23,5.45,0.0
24,5.45,0.0
25,5.45,0.0
26,5.45,0.0
27,5.45,0.0
28,5.45,0.0
29,5.45,0.0
30,5.45,0.0
31,5.45,0.0
32,5.45,0.0
33,5.45,0.0
34,5.45,0.0
35,5.45,0.0
36,5.45,0.0
37,5.45,0.0
38,5.45,0.0
39,5.45,0.0
40,5.45,0.0
41,5.45,0.0
42,5.45,0.0
43,5.45,0.0
44,5.45,0.0
45,5.45,0.0
46,5.45,0.0
47,5.45,0.0
48,5.45,0.0
49,5.45,0.0
50,5.45,0.0
51,5.45,0.0
52,5.45,0.0
53,5.45,0.0
54,5.45,0.0
55,5.45,0.0
56,5.45,0.0
57,5.45,0.0
58,5.45,0.0
59,5.45,0.0
60,5.45,0.0
61,5.45,0.0
62,5.45,0.0
63,5.45,0.0
64,5.45,0.0
65,5.45,0.0
66,5.45,0.0
67,5.45,0.0
68,5.45,0.0
69,5.45,0.0
70,5.45,0.0
71,5.45,0.0
72,5.45,0.0
73,5.45,0.0
74,5.45,0.0
75,5.45,0.0
76,5.45,0.0
77,5.45,0.0
78,5.45,0.0
79,5.45,0.0
80,5.45,0.0
81,5.45,0.0
82,5.45,0.0
83,5.45,0.0
84,5.45,0.0
85,5.45,0.0
86,5.45,0.0
87,5.45,0.0
88,5.45,0.0
89,5.45,0.0
90,5.45,0.0
91,5.45,0.0
92,5.45,0.0
93,5.45,0.0
94,5.45,0.0
95,5.45,0.0
96,5.45,0.0
97,5.45,0.0
98,5.45,0.0
99,5.45,0.0
100,5.45,0.0
101,5.45,0.0
102,5.45,0.0
103,5.45,0.0
104,5.45,0.0
105,5.45,0.0
106,5.45,0.0
107,5.45,0.0
108,5.45,0.0
109,5.45,0.0
110,5.45,0.0
111,5.45,0.0
112,5.45,0.0
113,5.45,0.0
114,5.45,0.0
115,5.45,0.0
116,5.45,0.0
117,5.45,0.0
118,5.45,0.0
119,5.45,0.0
120,5.45,0.0
121,5.45,0.0
122,5.45,0.0
123,5.45,0.0
124,5.45,0.0
125,5.45,0.0
126,5.45,0.0
127,5.45,0.0
128,5.45,0.0
129,5.45,0.0
130,5.45,0.0
131,5.45,0.0
132,5.45,0.0
133,5.45,0.0
134,5.45,0.0
135,5.45,0.0
136,5.45,0.0
137,5.45,0.0
138,5.45,0.0
139,5.45,0.0
140,5.45,0.0
141,5.45,0.0
142,5.45,0.0
143,5.45,0.0
144,5.45,0.0
145,5.45,0.0
146,5.45,0.0
147,5.45,0.0
148,5.45,0.0
149,5.45,0.0
150,5.45,0.0
151,5.45,0.0
152,5.45,0.0
153,5.45,0.0
154,5.45,0.0
155,5.45,0.0
156,5.45,0.0
157,5.45,0.0
158,5.45,0.0
159,5.45,0.0
160,5.45,0.0
161,5.45,0.0
162,5.45,0.0
163,5.45,0.0
164,5.45,0.0
165,5.45,0.0
166,5.45,0.0
167,5.45,0.0
168,5.45,0.0
169,5.45,0.0
170,3.14,0.0
171,3.14,0.0
172,3.14,0.0
173,3.14,0.0
174,3.14,0.0
175,3.14,0.0
176,3.14,0.0
177,3.14,0.0
178,3.14,0.0
179,3.14,0.0
180,3.14,0.0
181,3.14,0.0
182,3.14,0.0
183,3.14,0.0
184,3.14,0.0
185,3.14,0.0
186,3.14,0.0
187,3.14,0.0
188,3.14,0.0
189,3.14,0.0
